author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_square_meter
real_estate_agent,Химки,13,19,1,44.2,7550000,2014,20.0,9.0,Химки,переулок 2-й Чапаевский,Сходня,170814
real_estate_agent,Химки,3,7,1,34.0,7100000,2012,17.6,8.0,Химки,Летчика Ивана Федорова,Шереметьевская,208823
realtor,Химки,5,28,1,54.8,11100000,2016,20.0,13.0,Химки,Ленинский проспект,Химки,202554
realtor,Химки,3,5,1,33.0,7500000,2023,18.99017506438855,5.793990178128797,Химки,Первомайская,Химки,227272
real_estate_agent,Химки,15,19,1,39.9,7800000,2017,18.0,11.0,Химки,1-я Лесная,Новоподрезково,195488
realtor,Химки,2,13,1,35.0,7500000,1994,19.0,10.0,Химки,Панфилова,Химки,214285
real_estate_agent,Химки,7,17,1,41.9,8200000,2014,15.8,12.7,Химки,1-я Лесная,Подрезково,195704
real_estate_agent,Химки,1,16,1,42.2,7200000,2023,18.0,13.0,Химки,Центральная,Подрезково,170616
realtor,Химки,14,14,1,42.6,7500000,2018,16.4,15.9,Химки,1-я Лесная,Подрезково,176056
real_estate_agent,Химки,3,6,1,42.5,7500000,2023,24.2,10.0,Химки,Папанина,Сходня,176470
realtor,Химки,6,19,1,48.6,8300000,2017,21.0,15.9,Химки,1-я Лесная,Новоподрезково,170781
homeowner,Химки,11,19,1,42.5,8150000,2014,30.0,9.2,Химки,Центральная,Подрезково,191764
realtor,Химки,18,25,1,50.0,10500000,2013,22.0,10.0,Химки,Юбилейный проспект,Молжаниново,210000
realtor,Химки,5,7,1,32.5,6800000,2014,15.0,8.0,Химки,проезд Набережный,Шереметьевская,209230
real_estate_agent,Химки,14,25,1,37.2,8000000,2005,20.7,10.2,Химки,Молодежная,Молжаниново,215053
real_estate_agent,Химки,11,25,1,42.0,8500000,2023,21.0,11.0,Химки,проспект Мельникова,Молжаниново,202380
realtor,Химки,17,18,1,30.4,6800000,2019,15.0,7.6,Химки,Германа Титова,Химки,223684
real_estate_agent,Химки,8,20,1,40.0,10700000,2020,23.018394017440666,11.0,Химки,Ленинский проспект,Химки,267500
real_estate_agent,Химки,8,17,1,42.0,9500000,2003,24.1693137183127,11.0,Химки,Юбилейный проспект,Химки,226190
real_estate_agent,Химки,21,23,1,37.1,7799000,2015,16.0,12.0,Химки,Академика Грушина,Речной вокзал,210215
homeowner,Химки,3,5,1,45.6,7500000,2014,26.24096917988236,8.006240973414338,Химки,Фрунзе,Сходня,164473
homeowner,Химки,6,8,1,29.9,7000000,2023,20.0,6.5,Химки,Овражная,Подрезково,234113
realtor,Химки,11,17,1,44.7,9700000,2007,22.0,10.0,Химки,8 Марта,Химки,217002
real_estate_agent,Химки,12,17,1,33.0,7500000,2023,17.0,7.0,Химки,Германа Титова,Молжаниново,227272
homeowner,Химки,14,17,1,38.0,7480000,2019,10.0,18.0,Химки,проезд Тепличный,Новоподрезково,196842
realtor,Химки,3,18,1,44.0,7500000,2013,20.0,12.5,Химки,Первомайская,Сходня,170454
homeowner,Химки,5,10,1,46.7,6400000,2010,18.0,16.0,Химки,Папанина,Сходня,137044
realtor,Химки,11,18,1,41.6,7300000,2023,17.0,12.0,Химки,Первомайская,Сходня,175480
real_estate_agent,Химки,4,7,1,34.2,7990000,2023,14.4,8.1,Химки,проезд Набережный,Шереметьевская,233625
realtor,Химки,2,10,1,31.8,7500000,2015,16.0,8.5,Химки,Германа Титова,Молжаниново,235849
realtor,Химки,6,17,1,40.0,10550000,2003,20.0,12.5,Химки,Юбилейный проспект,Химки,263750
realtor,Химки,1,5,1,31.7,7650000,2019,17.0,12.0,Химки,Ивановская,Молжаниново,241324
homeowner,Химки,1,17,1,37.6,7900000,1998,18.9,8.4,Химки,Бабакина,Сходненская,210106
real_estate_agent,Химки,15,17,1,43.5,7880000,2012,18.0,11.5,Химки,Центральная,Подрезково,181149
homeowner,Химки,6,9,1,47.8,6700000,2010,22.0,14.0,Химки,Папанина,Сходня,140167
real_estate_agent,Химки,12,17,1,43.8,7500000,2019,20.0,10.0,Химки,Микояна,Сходня,171232
homeowner,Химки,17,17,1,48.0,7950000,2019,17.3,13.6,Химки,Микояна,Сходня,165625
realtor,Химки,3,9,1,33.4,7650000,2014,17.3,7.8,Химки,Летчика Ивана Федорова,Шереметьевская,229041
real_estate_agent,Химки,2,3,1,41.3,9700000,2012,30.0,6.0,Химки,Опанасенко,Химки,234866
realtor,Химки,8,17,1,27.0,6200000,2023,12.0,7.0,Химки,проезд Тепличный,Сходня,229629
homeowner,Химки,9,17,1,33.0,8150000,2019,18.99017506438855,8.0,Химки,Германа Титова,Химки,246969
real_estate_agent,Химки,8,17,1,42.0,7800000,2023,20.0,10.0,Химки,1-я Лесная,Подрезково,185714
real_estate_agent,Химки,4,8,1,39.9,7790000,2021,22.960848032397063,9.0,Химки,Генерала Дьяконова,Шереметьевская,195238
real_estate_agent,Химки,5,9,1,33.6,8000000,2013,16.0,8.4,Химки,Летчика Ивана Федорова,Шереметьевская,238095
homeowner,Химки,15,17,1,37.6,6000000,2020,15.6,10.0,Химки,Микояна,Сходня,159574
real_estate_agent,Химки,4,8,1,42.0,9500000,2022,16.0,11.5,Химки,Генерала Дьяконова,Шереметьевская,226190
real_estate_agent,Химки,16,25,1,42.0,11350000,2007,18.0,10.0,Химки,Панфилова,Химки,270238
real_estate_agent,Химки,1,8,1,44.2,6000000,2023,16.0,10.0,Химки,Генерала Дьяконова,Шереметьевская,135746
real_estate_agent,Химки,4,18,1,41.3,6500000,2017,19.0,12.5,Химки,Железнодорожная,Сходня,157384
real_estate_agent,Химки,4,17,1,41.3,6500000,2014,27.3,9.0,Химки,Железнодорожная,Сходня,157384
realtor,Химки,13,26,1,41.4,9650000,2013,18.0,10.5,Химки,проспект Мельникова,Планерная,233091
real_estate_agent,Химки,23,25,1,41.8,8900000,2011,18.0,10.0,Химки,Совхозная,Левобережная,212918
real_estate_agent,Химки,17,25,1,42.0,9650000,2007,20.0,10.0,Химки,Горшина,Химки,229761
realtor,Химки,19,25,1,41.5,9550000,2012,17.6,10.0,Химки,Горшина,Химки,230120
realtor,Химки,11,12,1,35.0,8000000,1995,19.0,9.0,Химки,проспект Мельникова,Молжаниново,228571
real_estate_agent,Химки,2,2,1,45.3,7350000,2023,26.068331224751553,7.953568335431348,Химки,Германа Титова,Химки,162251
realtor,Химки,20,27,1,41.7,9200000,2023,22.0,12.0,Химки,Родионова,Молжаниново,220623
real_estate_agent,Химки,1,9,1,32.2,7100000,2014,17.2,10.0,Химки,Ленинский проспект,Химки,220496
unknown,Химки,7,9,1,40.0,6600000,2015,23.018394017440666,8.0,Химки,Овражная,Сходня,165000
real_estate_agent,Химки,9,9,1,42.0,9500000,2012,18.0,15.0,Химки,Ленинский проспект,Химки,226190
realtor,Химки,22,27,1,40.0,11000000,2016,18.0,11.0,Химки,Молодежная,Молжаниново,275000
real_estate_agent,Химки,1,17,1,45.0,7800000,2012,13.0,11.0,Химки,тупик 2-й Мичуринский,Сходня,173333
real_estate_agent,Химки,12,17,1,40.0,9500000,2023,19.5,8.5,Химки,Бабакина,Химки,237500
realtor,Химки,15,16,1,34.8,6200000,1994,18.0,10.0,Химки,тупик 2-й Мичуринский,Сходня,178160
realtor,Химки,14,25,1,41.6,9990000,2017,18.0,11.0,Химки,Родионова,Молжаниново,240144
real_estate_agent,Химки,5,8,1,34.0,6900000,2023,17.0,9.0,Химки,Генерала Дьяконова,Шереметьевская,202941
realtor,Химки,3,26,1,41.9,10600000,2017,16.1,14.4,Химки,9 Мая,Молжаниново,252983
