author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_square_meter
3,36,4,18,1,41.3,6500000,2017,19.0,12.5,169,424,274,157384
3,36,4,17,1,41.3,6500000,2014,27.3,9.0,169,424,274,157384
4,36,13,26,1,41.4,9650000,2013,18.0,10.5,169,1386,212,233091
3,36,23,25,1,41.8,8900000,2011,18.0,10.0,169,1044,128,212918
3,36,17,25,1,42.0,9650000,2007,20.0,10.0,169,369,312,229761
4,36,19,25,1,41.5,9550000,2012,17.6,10.0,169,369,312,230120
4,36,11,12,1,35.0,8000000,1995,19.0,9.0,169,1386,155,228571
3,36,2,2,1,45.3,7350000,2023,26.068331224751553,7.953568335431349,169,349,312,162251
4,36,20,27,1,41.7,9200000,2023,22.0,12.0,169,965,155,220623
3,36,1,9,1,32.2,7100000,2014,17.2,10.0,169,635,312,220496
6,36,7,9,1,40.0,6600000,2015,23.018394017440666,8.0,169,840,274,165000
3,36,9,9,1,42.0,9500000,2012,18.0,15.0,169,635,312,226190
4,36,22,27,1,40.0,11000000,2016,18.0,11.0,169,753,155,275000
3,36,1,17,1,45.0,7800000,2012,13.0,11.0,169,1393,274,173333
3,36,12,17,1,40.0,9500000,2023,19.5,8.5,169,164,312,237500
4,36,15,16,1,34.8,6200000,1994,18.0,10.0,169,1393,274,178160
4,36,14,25,1,41.6,9990000,2017,18.0,11.0,169,965,155,240144
3,36,5,8,1,34.0,6900000,2023,17.0,9.0,169,339,327,202941
4,36,3,26,1,41.9,10600000,2017,16.1,14.4,169,110,155,252983
3,36,13,17,1,33.3,7900000,2016,16.0,8.4,169,349,312,237237
1,36,15,18,1,29.8,8000000,2020,19.0,10.8,169,484,312,268456
3,36,10,26,1,38.0,9500000,2017,14.0,12.0,169,110,155,250000
4,36,16,25,1,41.8,10000000,2007,24.0,12.0,169,369,312,239234
3,36,9,18,1,33.0,8150000,2019,19.0,8.0,169,349,312,246969
3,36,19,24,1,50.3,10400000,2023,28.945630476931637,9.6,169,127,312,206759
3,36,17,17,1,36.06,6700000,2020,16.7,9.2,169,732,274,185801
1,36,3,8,1,31.3,8000000,2013,18.01189331864732,5.495511896225193,169,1349,327,255591
6,36,11,17,1,43.0,7500000,2017,16.0,15.0,169,22,177,174418
4,36,2,8,1,39.5,7200000,2022,18.0,11.0,169,339,327,182278
3,36,1,17,1,36.7,6700000,2014,18.9,9.3,169,22,218,182561
3,36,16,17,1,32.8,8400000,2023,14.0,8.1,169,349,155,256097
3,36,12,17,1,41.2,8100000,2018,20.0,10.0,169,349,155,196601
3,36,8,19,1,44.0,8000000,2023,25.32023341918473,13.0,169,1313,274,181818
4,36,11,12,1,40.7,8000000,2016,18.0,9.0,169,965,155,196560
3,36,18,25,1,42.1,8000000,2011,18.0,10.0,169,1386,155,190023
6,36,1,17,1,42.2,8018000,2020,17.2,9.0,169,732,274,190000
1,36,14,27,1,37.9,8000000,2005,20.7,10.2,169,753,155,211081
6,36,8,25,1,41.6,8000000,2007,18.0,10.0,169,876,312,192307
1,36,3,3,1,43.3,8000000,2023,21.3,11.0,169,469,212,184757
1,36,22,22,1,40.0,8100000,2006,20.0,10.5,169,753,155,202500
3,36,9,18,1,33.0,8150000,2019,19.0,7.0,169,349,312,246969
3,36,12,17,1,38.1,8200000,2023,19.0,8.0,169,876,273,215223
3,36,23,25,1,38.1,8299999,2009,17.8,10.4,169,753,155,217847
3,36,14,17,1,30.7,8300000,2018,15.0,9.0,169,349,312,270358
3,36,2,23,1,42.2,8350000,2015,20.0,10.0,169,127,312,197867
1,36,11,24,1,43.8,8350000,2012,18.8,10.2,169,1044,128,190639
4,36,22,25,1,41.7,8300000,2023,17.4,10.5,169,369,312,199040
1,36,1,5,1,33.0,8380000,2019,18.99017506438855,10.0,169,469,155,253939
1,36,12,16,1,44.0,8300000,2023,25.32023341918473,10.0,169,883,274,188636
4,36,15,25,1,41.8,8300000,2008,18.0,12.0,169,753,155,198564
3,36,3,5,1,38.6,8400000,2020,15.3,11.0,169,469,155,217616
6,36,3,27,1,40.8,8400000,2016,14.2,10.4,169,753,155,205882
6,36,12,23,1,42.0,8400000,2016,19.0,9.0,169,965,155,200000
1,36,18,25,1,41.9,8490000,2008,17.8,10.4,169,753,155,202625
4,36,21,25,1,41.4,8500000,2008,17.8,10.0,169,753,155,205314
3,36,14,14,1,32.3,8500000,2017,15.0,9.0,169,349,312,263157
6,36,18,25,1,43.0,8500000,2009,18.0,10.0,169,369,312,197674
1,36,15,17,1,37.0,8500000,2016,21.292014466132617,6.496292017901985,169,349,312,229729
1,36,19,25,1,42.0,8500000,2007,18.0,10.0,169,369,312,202380
1,36,10,17,1,38.0,8500000,2003,19.5,8.0,169,702,155,223684
3,36,10,17,1,38.0,8600000,2003,21.867474316568632,8.0,169,702,155,226315
3,36,3,25,1,34.0,8600000,2017,19.0,10.0,169,1044,128,252941
3,36,1,8,1,55.6,8600000,2011,11.5,26.0,169,191,312,154676
3,36,20,25,1,42.1,8600000,2007,17.8,10.0,169,369,312,204275
3,36,1,27,1,42.8,8600000,2023,17.5,9.9,169,1044,128,200934
4,36,13,27,1,42.0,8600000,2016,15.0,11.0,169,753,155,204761
1,36,16,17,1,31.0,8600000,2019,15.0,8.0,169,349,155,277419
1,36,16,24,1,41.6,8600000,2012,20.0,10.0,169,1386,155,206730
1,36,3,25,1,34.0,8600000,2017,21.0,11.0,169,1044,128,252941
1,36,5,5,1,37.9,8550000,2020,21.80992833152503,6.654309931850952,169,469,155,225593
3,36,9,17,1,36.3,8700000,2016,18.0,8.7,169,349,312,239669
3,36,2,8,1,55.0,8700000,2014,30.0,18.0,169,191,312,158181
4,36,11,25,1,37.8,8700000,2007,18.0,10.0,169,1044,128,230158
4,36,18,23,1,42.3,8690000,2023,18.0,10.5,169,753,155,205437
4,36,3,26,1,40.0,8700000,2017,19.4,9.4,169,965,155,217500
3,36,18,23,1,43.7,8700000,2023,18.4,10.5,169,369,312,199084
6,36,7,25,1,41.1,8700000,2014,17.7,10.1,169,1044,128,211678
1,36,1,8,1,41.1,8700000,2013,23.651399852920285,14.0,169,635,312,211678
3,36,9,25,1,41.8,8799000,2007,21.0,11.0,169,753,155,210502
4,36,12,12,1,43.9,8800000,2014,18.0,11.0,169,22,218,200455
3,36,5,17,1,42.6,8800000,2017,19.6,18.0,169,349,155,206572
4,36,13,18,1,46.3,8800000,2005,20.7,10.9,169,127,312,190064
3,36,3,4,1,43.2,8800000,2015,23.0,11.0,169,469,155,203703
4,36,5,23,1,42.5,8850000,2011,20.0,10.0,169,1386,155,208235
1,36,9,25,1,42.0,8800000,2008,21.0,11.0,169,753,155,209523
1,36,5,27,1,43.7,8800000,2014,25.14759546405393,10.0,169,1386,155,201372
1,36,13,18,1,41.0,8800000,2005,23.593853867876682,7.198593857675173,169,127,312,214634
4,36,16,25,1,38.3,8990000,2006,19.9,10.5,169,753,155,234725
4,36,2,6,1,40.0,8950000,2020,18.0,16.0,169,469,155,223750
4,36,3,23,1,41.9,8995000,2011,18.0,10.0,169,1386,155,214677
3,36,17,25,1,37.3,8900000,2016,18.5,9.5,169,110,155,238605
6,36,8,22,1,42.0,8950000,2023,17.7,10.3,169,1348,155,213095
6,36,10,25,1,42.0,8900000,2007,24.0,11.0,169,876,312,211904
1,36,1,5,1,38.2,8900000,2016,15.0,15.0,169,843,312,232984
